,nom,nom2,altitude,lat,lng,departement,lien,liencols,ouverture,est_cycliste
0,Col du Grand Colombier,,1498.0,45.90342,5.76176,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col du Grand Colombier.htm,,True
1,Col de la Vattay,Col de la Combe Blanche,1390.0,46.40331,6.07705,de l' Ain,cols-departement-ain-d01.html,,,False
2,Col de la Faucille,,1320.0,46.36985,6.0187,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de la Faucille.htm,,True
3,Golet de la Biche,,1310.0,45.95236,5.74891,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de la Biche.htm,,True
4,Col de Cuvery,,1178.0,46.11501,5.72563,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Cuvery.htm,,True
5,La Selle,,1175.0,45.90547,5.74547,de l' Ain,cols-departement-ain-d01.html,,,False
6,Col de Mazière,Col de Clye,1151.0,45.95732,5.63516,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Clye.htm,,True
7,Golet Belon,,1145.0,46.06157,5.69356,de l' Ain,cols-departement-ain-d01.html,,,False
8,Col de Bérentin,,1144.0,46.11819,5.68379,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Bérentin.htm,,True
9,Col de Menthières,,1136.0,46.18006,5.85069,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Menthières.htm,,True
10,Col de la Rochette,,1112.0,45.98395,5.63953,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de la Rochette.htm,,True
11,Col de la Croix de l'Orme,,1099.0,45.99361,5.62996,de l' Ain,cols-departement-ain-d01.html,,,False
12,Col de Cuvillat,,1073.0,46.03213,5.62198,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Cuvillat.htm,,True
13,Golet Sapin,,1070.0,46.09808,5.67479,de l' Ain,cols-departement-ain-d01.html,,,False
14,Col de Belle Roche,,1056.0,46.11088,5.64693,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Belle Roche.htm,,True
15,Col de Richemond,,1036.0,46.0083,5.74838,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Richemond.htm,,True
16,Col du Petit Perthuis,,1031.0,45.78545,5.59134,de l' Ain,cols-departement-ain-d01.html,,,False
17,Col de Portes,,1005.0,45.85892,5.48327,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Portes.htm,,True
18,Golet Comment,,980.0,46.08271,5.66402,de l' Ain,cols-departement-ain-d01.html,,,False
19,Col du Sentier,,979.0,46.19643,5.6673,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col du Sentier.htm,,True
20,Col de Colliard,,979.0,46.12792,5.63831,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Colliard.htm,,True
21,Col de Pisseloup,,968.0,46.04417,5.56899,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Pisseloup.htm,,True
22,Golet du Geai,,955.0,46.05611,5.5122,de l' Ain,cols-departement-ain-d01.html,,,False
23,Col du Ballon,,942.0,45.87616,5.58289,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col du Ballon.htm,,True
24,Golet Géla,,937.0,46.07281,5.66159,de l' Ain,cols-departement-ain-d01.html,,,False
25,Col de la Cheminée,,925.0,46.05791,5.65628,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de la Cheminée.htm,,True
26,Col de la Lèbe,,914.0,45.91902,5.61967,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de la Lèbe.htm,,True
27,Col du Cruchon,,903.0,46.02497,5.56295,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col du Cruchon.htm,,True
28,Golet Brandeu,,880.0,46.24035,5.68941,de l' Ain,cols-departement-ain-d01.html,,,False
29,Col de la Berche,,864.0,45.99467,5.55112,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de la Berche.htm,,True
30,Col des Pezieres,,810.0,45.99937,5.50337,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col des Pezieres.htm,,True
31,Col du Sappel,,794.0,46.09806,5.5028,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col du Sappel.htm,,True
32,Col du Cendrier,,793.0,46.02059,5.48261,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col du Cendrier.htm,,True
33,Golet du Tillet,,784.0,46.02972,5.51073,de l' Ain,cols-departement-ain-d01.html,,,False
34,Col de Berthiand,,780.0,46.17282,5.49395,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Berthiand.htm,,True
35,Col de Montgriffon,,770.0,46.00282,5.46384,de l' Ain,cols-departement-ain-d01.html,,,False
36,Col des Evosges,,758.0,45.96443,5.48598,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col d'Evosges.htm,,True
37,Col des Fosses,,745.0,45.75942,5.57273,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col des Fossés.htm,,True
38,Goulet de Bois,,743.0,46.18745,5.50423,de l' Ain,cols-departement-ain-d01.html,,,False
39,Golet du Thioux,,740.0,45.96566,5.56866,de l' Ain,cols-departement-ain-d01.html,,,False
40,Col de Fay,,680.0,45.87994,5.40584,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Fay.htm,,True
41,Col de Ceignes,Col de Tirecul,646.0,46.13086,5.51406,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Ceignes.htm,,True
42,Col du Nivolet,,602.0,45.98095,5.44153,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col du Nivolet.htm,,True
43,Collet de Chavannes,,520.0,46.2648,5.44373,de l' Ain,cols-departement-ain-d01.html,,,False
44,Trou du Sac,,512.0,46.20289,5.34228,de l' Ain,cols-departement-ain-d01.html,,,False
45,Col de la Pérouse,,507.0,46.18405,5.33801,de l' Ain,cols-departement-ain-d01.html,,,False
46,Col de Montratier,,500.0,46.05586,5.46245,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Montratier.htm,,True
47,Col de Matafelon,,475.0,46.26215,5.55291,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Matafelon.htm,,True
48,Col de la Chaise,,420.0,46.15536,5.35785,de l' Ain,cols-departement-ain-d01.html,,,False
49,Col de la Roche,,401.0,46.16441,5.40882,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de la Roche.htm,,True
50,Le Dernier Col,Col du Hibou,384.0,46.1105,5.40291,de l' Ain,cols-departement-ain-d01.html,,,False
51,Col de la Rousse,,380.0,46.22221,5.38527,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de Rousse.htm,,True
52,Col de France,,371.0,46.23166,5.35718,de l' Ain,cols-departement-ain-d01.html,https://www.cols-cyclisme.com/recherche/Col de France.htm,,True
53,Col du Sansonnet,,365.0,45.72814,5.6353,de l' Ain,cols-departement-ain-d01.html,,,False
54,Col de Prémeyzel,,360.0,45.6844,5.66107,de l' Ain,cols-departement-ain-d01.html,,,False
55,Golet du Tilleul,,238.0,45.7438,5.50953,de l' Ain,cols-departement-ain-d01.html,,,False
56,Col de la Loge des Gardes,,1077.0,46.0054,3.79992,de l' Allier,cols-departement-allier-d03.html,https://www.cols-cyclisme.com/recherche/Col de la Loge des Gardes.htm,,True
57,Col de la RiviÃ¨re Noire,,993.0,46.07172,3.81433,de l' Allier,cols-departement-allier-d03.html,,,False
58,Col de la Plantade,,871.0,45.96129,3.63269,de l' Allier,cols-departement-allier-d03.html,,,False
59,Col du Beau Louis,,824.0,45.97418,3.70976,de l' Allier,cols-departement-allier-d03.html,https://www.cols-cyclisme.com/recherche/Col du Beau Louis.htm,,True
60,Col de Naves,,330.0,46.17446,3.12864,de l' Allier,cols-departement-allier-d03.html,,,False
61,Col de la Bonette,,2715.0,44.32657,6.80764,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,,Ouvert,False
62,Col des Granges Communes,Col du Raspaillon,2513.0,44.34052,6.83211,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,,,False
63,Col de la Moutière,Col du Planton,2454.0,44.31524,6.79634,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col de la Moutière.htm,,True
64,Col de la Cayolle,,2326.0,44.25918,6.74403,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col de la Cayolle.htm,Ouvert,True
65,Col d'Allos,Col de Valgelaye,2247.0,44.29718,6.59426,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col d'Allos.htm,Ouvert,True
66,Col de Vars,,2108.0,44.53894,6.70278,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col de Vars.htm,Ouvert,True
67,Col des Champs,,2093.0,44.17511,6.69791,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col des Champs.htm,Ouvert,True
68,Col de Larche,Colle della Maddalena,1991.0,44.42181,6.89857,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col de Larche.htm,,True
69,Pas de Saint-Barthélémy,,1704.0,44.12375,5.79117,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,,,False
70,Pas de la Graille,Col de Frère Jean,1597.0,44.11527,5.83325,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,,,False
71,Pas de la Reynière,Baisse de la Drue,1540.0,43.97551,6.48235,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,,,False
72,Colle Basse,,1471.0,43.95866,6.62991,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,,,False
73,Col du Fanget,,1459.0,44.32722,6.32841,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col du Fanget.htm,,True
74,Colle St. Michel,,1431.0,44.04679,6.59338,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Colle Saint Michel.htm,,True
75,Col de St Barnabé,,1365.0,43.86508,6.6319,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col de St Barnabé.htm,,True
76,Col de Maure,,1346.0,44.31945,6.40216,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col de Maure.htm,,True
77,Col St Jean,,1333.0,44.41501,6.35073,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col Saint Jean.htm,,True
78,Col des Fillys,,1322.0,44.40952,6.29222,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col des Fillys.htm,,True
79,Col de St Martin,,1310.0,44.38484,6.24023,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,,,False
80,Col de Fontbelle,,1304.0,44.21525,6.14723,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col de Fontbelle.htm,,True
81,Col de Pontis,,1301.0,44.48807,6.34854,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col de Pontis.htm,,True
82,Pas de l'Abauc,,1280.0,43.76007,6.36985,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,,,False
83,Le Pertus,,1270.0,44.40613,6.52506,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,,,False
84,Col du Défend,,1267.0,44.05399,6.42735,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col du Défend.htm,,True
85,Le Coulet,,1261.0,44.3552,6.354,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,,,False
86,Col de Charamel,,1242.0,44.43169,6.29889,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,,,False
87,Col du Labouret,,1240.0,44.24874,6.3708,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,https://www.cols-cyclisme.com/recherche/Col du Labouret.htm,Ouvert,True
88,Col de l'Hysope,,1236.0,44.20126,6.15099,des Alpes-de-Haute-Provence,cols-departement-alpes-de-haute-provence-d04.html,,,False
